a | ARTICLE
unequipped | ADJECTIVE 
unerring | ADJECTIVE 
unespied | ADJECTIVE 
unessayed | ADJECTIVE 
uneven | ADJECTIVE 
unexcelled | ADJECTIVE 
unexpired | ADJECTIVE 
unexplained | ADJECTIVE 
unexplored | ADJECTIVE 
unexposed | ADJECTIVE 
unexpressed | ADJECTIVE 
unextinct | ADJECTIVE 
unextreme | ADJECTIVE 
unfabled | ADJECTIVE 
unfaded | ADJECTIVE 
unfading | ADJECTIVE 
unfailing | ADJECTIVE 
unfaithful | ADJECTIVE 
unfallen | ADJECTIVE 
unfashioned | ADJECTIVE 
unfathered | ADJECTIVE 
unfathomed | ADJECTIVE 
unfaulty | ADJECTIVE 
unfearful | ADJECTIVE 
unfearing | ADJECTIVE 
unfeathered | ADJECTIVE 
unfeatured | ADJECTIVE 
unfeeling | ADJECTIVE 
unfeigning | ADJECTIVE 
unfeudal | ADJECTIVE 
unfiltered | ADJECTIVE 
unfinished | ADJECTIVE 
unfitted | ADJECTIVE 
unfitting | ADJECTIVE 
unflagging | ADJECTIVE 
unflavoured | ADJECTIVE 
unfleshly | ADJECTIVE 
unflinching | ADJECTIVE 
unflustered | ADJECTIVE 
unfocused | ADJECTIVE 
unfocussed | ADJECTIVE 
unfooling | ADJECTIVE 
unforeknown | ADJECTIVE 
unforeseen | ADJECTIVE 
unforetold | ADJECTIVE 
unforewarned | ADJECTIVE 
unfostered | ADJECTIVE 
unfounded | ADJECTIVE 
unfranchised | ADJECTIVE 
unfrequent | ADJECTIVE 
unfretted | ADJECTIVE 
unfriended | ADJECTIVE 
unfriendly | ADJECTIVE 
unfrighted | ADJECTIVE 
unfrightened | ADJECTIVE 
unfrozen | ADJECTIVE 
unfruitful | ADJECTIVE 
unfuelled | ADJECTIVE 
unfulfilled | ADJECTIVE 
unfunded | ADJECTIVE 
unfunny | ADJECTIVE 
unfurnished | ADJECTIVE 
unfurrowed | ADJECTIVE 
ungainful | ADJECTIVE 
ungainly | ADJECTIVE 
ungainsaid | ADJECTIVE 
ungallant | ADJECTIVE 
ungarbled | ADJECTIVE 
ungarnered | ADJECTIVE 
ungarnished | ADJECTIVE 
ungathered | ADJECTIVE 
ungenial | ADJECTIVE 
ungenteel | ADJECTIVE 
ungentle | ADJECTIVE 
ungermane | ADJECTIVE 
unghostly | ADJECTIVE 
ungifted | ADJECTIVE 
ungilded | ADJECTIVE 
ungiving | ADJECTIVE 
ungodlike | ADJECTIVE 
ungodly | ADJECTIVE 
ungotten | ADJECTIVE 
ungoverned | ADJECTIVE 
ungraceful | ADJECTIVE 
ungraded | ADJECTIVE 
ungrateful | ADJECTIVE 
ungrounded | ADJECTIVE 
ungrudging | ADJECTIVE 
unguarded | ADJECTIVE 
unguerdoned | ADJECTIVE 
unguided | ADJECTIVE 
ungulate | ADJECTIVE 
unhackneyed | ADJECTIVE 
unhallowed | ADJECTIVE 
unhampered | ADJECTIVE 
unhandled | ADJECTIVE 
unhandseled | ADJECTIVE 
unhandsome | ADJECTIVE 
unhanging | ADJECTIVE 
unhappy | ADJECTIVE 
unharboured | ADJECTIVE 
unhardened | ADJECTIVE 
unharmful | ADJECTIVE 
unharming | ADJECTIVE 
unhasting | ADJECTIVE 
unhasty | ADJECTIVE 
unhaunted | ADJECTIVE 
unheaded | ADJECTIVE 
unhealthy | ADJECTIVE 
unheated | ADJECTIVE 
unheeded | ADJECTIVE 
unheedful | ADJECTIVE 
unheeding | ADJECTIVE 
unhelpful | ADJECTIVE 
unhidden | ADJECTIVE 
unhindered | ADJECTIVE 
unhoarded | ADJECTIVE 
unhoarding | ADJECTIVE 
unholy | ADJECTIVE 
unhomely | ADJECTIVE 
unhopeful | ADJECTIVE 
unhouseled | ADJECTIVE 
unhuman | ADJECTIVE 
unhumbled | ADJECTIVE 
unhunted | ADJECTIVE 
unhurried | ADJECTIVE 
unhurtful | ADJECTIVE 
unific | ADJECTIVE 
unified | ADJECTIVE 
uniform | ADJECTIVE 
uniformed | ADJECTIVE 
unillumed | ADJECTIVE 
unilobed | ADJECTIVE 
unimbued | ADJECTIVE 
unimpaired | ADJECTIVE 
unimpeached | ADJECTIVE 
unimplored | ADJECTIVE 
unimposed | ADJECTIVE 
unimpressed | ADJECTIVE 
unimproved | ADJECTIVE 
uninclosed | ADJECTIVE 
unindexed | ADJECTIVE 
uninflamed | ADJECTIVE 
uninformed | ADJECTIVE 
uninjured | ADJECTIVE 
uninscribed | ADJECTIVE 
uninspired | ADJECTIVE 
uninsured | ADJECTIVE 
uninured | ADJECTIVE 
uninvolved | ADJECTIVE 
unironed | ADJECTIVE 
unisex | ADJECTIVE 
unitive | ADJECTIVE 
univalve | ADJECTIVE 
unjaded | ADJECTIVE 
unjaundiced | ADJECTIVE 
unjealous | ADJECTIVE 
unjoyful | ADJECTIVE 
unjoyous | ADJECTIVE 
unkindled | ADJECTIVE 
unkindly | ADJECTIVE 
unkinglike | ADJECTIVE 
unkingly | ADJECTIVE 
unknighted | ADJECTIVE 
unknightly | ADJECTIVE 
unknowing | ADJECTIVE 
unlabelled | ADJECTIVE 
unlaboured | ADJECTIVE 
unladen | ADJECTIVE 
unleaded | ADJECTIVE 
unlearned | ADJECTIVE 
unlearning | ADJECTIVE 
unleavened | ADJECTIVE 
unleisured | ADJECTIVE 
unlettered | ADJECTIVE 
unlicensed | ADJECTIVE 
unlidded | ADJECTIVE 
unlifelike | ADJECTIVE 
unlighted | ADJECTIVE 
unlightened | ADJECTIVE 
unlikely | ADJECTIVE 
unlisted | ADJECTIVE 
unlively | ADJECTIVE 
unliving | ADJECTIVE 
unlovely | ADJECTIVE 
unloving | ADJECTIVE 
unlucky | ADJECTIVE 
unmaintained | ADJECTIVE 
unmanaged | ADJECTIVE 
unmanly | ADJECTIVE 
unmannered | ADJECTIVE 
unmantled | ADJECTIVE 
unmarried | ADJECTIVE 
unmasking | ADJECTIVE 
unmastered | ADJECTIVE 
unmated | ADJECTIVE 
unmatured | ADJECTIVE 
unmeaning | ADJECTIVE 
unmeasured | ADJECTIVE 
unmellowed | ADJECTIVE 
unmelted | ADJECTIVE 
unmentioned | ADJECTIVE 
unmetalled | ADJECTIVE 
unmeted | ADJECTIVE 
unmindful | ADJECTIVE 
unmingled | ADJECTIVE 
unmiry | ADJECTIVE 
unmodish | ADJECTIVE 
unmoral | ADJECTIVE 
unmortgaged | ADJECTIVE 
unmounted | ADJECTIVE 
unmounting | ADJECTIVE 
unmoving | ADJECTIVE 
unnative | ADJECTIVE 
unneeded | ADJECTIVE 
unneedful | ADJECTIVE 
unnetted | ADJECTIVE 
unnoted | ADJECTIVE 
unnoticed | ADJECTIVE 
unnourished | ADJECTIVE 
unnumbered | ADJECTIVE 
unnurtured | ADJECTIVE 
unobeyed | ADJECTIVE 
unobscured | ADJECTIVE 
unobserved | ADJECTIVE 
unobtained | ADJECTIVE 
unoffered | ADJECTIVE 
unopened | ADJECTIVE 
unopposed | ADJECTIVE 
unordained | ADJECTIVE 
unordered | ADJECTIVE 
unorganized | ADJECTIVE 
unpainful | ADJECTIVE 
unpainted | ADJECTIVE 
unpalsied | ADJECTIVE 
unpampered | ADJECTIVE 
unpanelled | ADJECTIVE 
unpapered | ADJECTIVE 
unpardoned | ADJECTIVE 
unpassioned | ADJECTIVE 
unpastured | ADJECTIVE 
unpatterned | ADJECTIVE 
unpaying | ADJECTIVE 
unpeaceful | ADJECTIVE 
unpennied | ADJECTIVE 
unpensioned | ADJECTIVE 
unpeopled | ADJECTIVE 
unpeppered | ADJECTIVE 
unperceived | ADJECTIVE 
unperfect | ADJECTIVE 
unperformed | ADJECTIVE 
unperfumed | ADJECTIVE 
unperished | ADJECTIVE 
unperjured | ADJECTIVE 
unperplexed | ADJECTIVE 
unperturbed | ADJECTIVE 
unpillared | ADJECTIVE 
unpillowed | ADJECTIVE 
unpitied | ADJECTIVE 
unplanted | ADJECTIVE 
unpleasant | ADJECTIVE 
unpleasing | ADJECTIVE 
unpleated | ADJECTIVE 
unpliant | ADJECTIVE 
unpointed | ADJECTIVE 
unpoisoned | ADJECTIVE 
unpoliced | ADJECTIVE 
unpolished | ADJECTIVE 
unpolite | ADJECTIVE 
unportioned | ADJECTIVE 
unpossessed | ADJECTIVE 
unposted | ADJECTIVE 
unpowdered | ADJECTIVE 
unpracticed | ADJECTIVE 
unpractised | ADJECTIVE 
unpraising | ADJECTIVE 
unpraying | ADJECTIVE 
unpreaching | ADJECTIVE 
unprecise | ADJECTIVE 
unpreferred | ADJECTIVE 
unpregnant | ADJECTIVE 
unprepared | ADJECTIVE 
unprescribed | ADJECTIVE 
unpretty | ADJECTIVE 
unpriestly | ADJECTIVE 
unprincely | ADJECTIVE 
unprinted | ADJECTIVE 
unprocessed | ADJECTIVE 
unproclaimed | ADJECTIVE 
unproduced | ADJECTIVE 
unprofaned | ADJECTIVE 
unprofessed | ADJECTIVE 
unpromised | ADJECTIVE 
unprompted | ADJECTIVE 
unpronounced | ADJECTIVE 
unproper | ADJECTIVE 
unproposed | ADJECTIVE 
unproven | ADJECTIVE 
unprovoked | ADJECTIVE 
unpublished | ADJECTIVE 
unpuckered | ADJECTIVE 
unpunished | ADJECTIVE 
unpurchased | ADJECTIVE 
unpurposed | ADJECTIVE 
unpursued | ADJECTIVE 
unquarried | ADJECTIVE 
unqueenly | ADJECTIVE 
unquestioned | ADJECTIVE 
unquickened | ADJECTIVE 
unquiet | ADJECTIVE 
unquoted | ADJECTIVE 
unraking | ADJECTIVE 
unransomed | ADJECTIVE 
unrated | ADJECTIVE 
unravished | ADJECTIVE 
unrazored | ADJECTIVE 
unready | ADJECTIVE 
unreal | ADJECTIVE 
unreasoned | ADJECTIVE 
unreaving | ADJECTIVE 
unrebuked | ADJECTIVE 
unrecalled | ADJECTIVE 
unreckoned | ADJECTIVE 
unreclaimed | ADJECTIVE 
unredressed | ADJECTIVE 
unreduced | ADJECTIVE 
unrefined | ADJECTIVE 
unreformed | ADJECTIVE 
unrefreshed | ADJECTIVE 
unrehearsed | ADJECTIVE 
unrejoiced | ADJECTIVE 
unrelaxed | ADJECTIVE 
unreleased | ADJECTIVE 
unrelieved | ADJECTIVE 
unrelished | ADJECTIVE 
unremarked | ADJECTIVE 
unremoved | ADJECTIVE 
unrendered | ADJECTIVE 
unrenewed | ADJECTIVE 
unrenowned | ADJECTIVE 
unrepaid | ADJECTIVE 
unrepaired | ADJECTIVE 
unrepealed | ADJECTIVE 
unrepelled | ADJECTIVE 
unreprieved | ADJECTIVE 
unreproached | ADJECTIVE 
unreproved | ADJECTIVE 
unrequired | ADJECTIVE 
unreserved | ADJECTIVE 
unresolved | ADJECTIVE 
unrestful | ADJECTIVE 
unresting | ADJECTIVE 
unrestored | ADJECTIVE 
unrestrained | ADJECTIVE 
unretouched | ADJECTIVE 
unreturned | ADJECTIVE 
unrevealed | ADJECTIVE 
unrevenged | ADJECTIVE 
unreversed | ADJECTIVE 
unrevised | ADJECTIVE 
unrevoked | ADJECTIVE 
unridden | ADJECTIVE 
unriddled | ADJECTIVE 
unrifled | ADJECTIVE 
unrighteous | ADJECTIVE 
unrightful | ADJECTIVE 
unripened | ADJECTIVE 
unrisen | ADJECTIVE 
unrivalled | ADJECTIVE 
unriven | ADJECTIVE 
unrotted | ADJECTIVE 
unrotten | ADJECTIVE 
unrounded | ADJECTIVE 
unruffled | ADJECTIVE 
unruly | ADJECTIVE 
unrumpled | ADJECTIVE 
unsainted | ADJECTIVE 
unsaintly | ADJECTIVE 
unsalted | ADJECTIVE 
unsanctioned | ADJECTIVE 
unsandalled | ADJECTIVE 
unsated | ADJECTIVE 
unsating | ADJECTIVE 
unscaling | ADJECTIVE 
unscented | ADJECTIVE 
unsceptred | ADJECTIVE 
unscheduled | ADJECTIVE 
unscissored | ADJECTIVE 
unscripted | ADJECTIVE 
unscrupled | ADJECTIVE 
unsculptured | ADJECTIVE 
unseasoned | ADJECTIVE 
unsecured | ADJECTIVE 
unseduced | ADJECTIVE 
unseeded | ADJECTIVE 
unseeing | ADJECTIVE 
unseemly | ADJECTIVE 
unselfish | ADJECTIVE 
unsensing | ADJECTIVE 
unsentenced | ADJECTIVE 
unsetting | ADJECTIVE 
unsettled | ADJECTIVE 
unsevered | ADJECTIVE 
unshaded | ADJECTIVE 
unshadowed | ADJECTIVE 
unshaken | ADJECTIVE 
unshapely | ADJECTIVE 
unshapen | ADJECTIVE 
unshaping | ADJECTIVE 
unsharpened | ADJECTIVE 
unshedding | ADJECTIVE 
unsheltered | ADJECTIVE 
unshielded | ADJECTIVE 
unshifting | ADJECTIVE 
unshingled | ADJECTIVE 
unshouted | ADJECTIVE 
unshouting | ADJECTIVE 
unshowered | ADJECTIVE 
unshrinking | ADJECTIVE 
unshriven | ADJECTIVE 
unshuttered | ADJECTIVE 
unsicker | ADJECTIVE 
unsifted | ADJECTIVE 
unsighing | ADJECTIVE 
unsighted | ADJECTIVE 
unsightly | ADJECTIVE 
unsinewed | ADJECTIVE 
unsistered | ADJECTIVE 
unskilful | ADJECTIVE 
unskillful | ADJECTIVE 
unsleeping | ADJECTIVE 
unslipping | ADJECTIVE 
unslumbrous | ADJECTIVE 
unsmiling | ADJECTIVE 
unsmitten | ADJECTIVE 
unsocial | ADJECTIVE 
unsolaced | ADJECTIVE 
unsolemn | ADJECTIVE 
unsolid | ADJECTIVE 
unsonsy | ADJECTIVE 
unsounded | ADJECTIVE 
unsparing | ADJECTIVE 
unspoken | ADJECTIVE 
unsporting | ADJECTIVE 
unspotted | ADJECTIVE 
unsprinkled | ADJECTIVE 
unstable | ADJECTIVE 
unstated | ADJECTIVE 
unstaying | ADJECTIVE 
unsteadfast | ADJECTIVE 
unsteady | ADJECTIVE 
unsterile | ADJECTIVE 
unstifled | ADJECTIVE 
unstinted | ADJECTIVE 
unstinting | ADJECTIVE 
unstitching | ADJECTIVE 
unstockinged | ADJECTIVE 
unstooping | ADJECTIVE 
unstrengthened | ADJECTIVE 
unstructured | ADJECTIVE 
unstudied | ADJECTIVE 
unstuffy | ADJECTIVE 
unsubdued | ADJECTIVE 
unsubject | ADJECTIVE 
unsublimed | ADJECTIVE 
unsubmerged | ADJECTIVE 
unsubscribed | ADJECTIVE 
unsubtle | ADJECTIVE 
unsuited | ADJECTIVE 
unsuiting | ADJECTIVE 
unsullied | ADJECTIVE 
unsummoned | ADJECTIVE 
unsunny | ADJECTIVE 
unsupple | ADJECTIVE 
unsupplied | ADJECTIVE 
unsuppressed | ADJECTIVE 
unsurfaced | ADJECTIVE 
unsurmised | ADJECTIVE 
unsurpassed | ADJECTIVE 
unsurprised | ADJECTIVE 
unsurveyed | ADJECTIVE 
unsustained | ADJECTIVE 
unswaddled | ADJECTIVE 
unswaddling | ADJECTIVE 
unswallowed | ADJECTIVE 
unsweetened | ADJECTIVE 
unswerving | ADJECTIVE 
untackling | ADJECTIVE 
untainted | ADJECTIVE 
untainting | ADJECTIVE 
untarnished | ADJECTIVE 
untasted | ADJECTIVE 
untasteful | ADJECTIVE 
untaxing | ADJECTIVE 
untempered | ADJECTIVE 
untempted | ADJECTIVE 
untended | ADJECTIVE 
untendered | ADJECTIVE 
untested | ADJECTIVE 
untethered | ADJECTIVE 
unthankful | ADJECTIVE 
unthawing | ADJECTIVE 
unthinking | ADJECTIVE 
unthorough | ADJECTIVE 
unthoughtful | ADJECTIVE 
unthreaded | ADJECTIVE 
unthrifty | ADJECTIVE 
untidied | ADJECTIVE 
untidy | ADJECTIVE 
untimbered | ADJECTIVE 
untimely | ADJECTIVE 
untimeous | ADJECTIVE 
untinctured | ADJECTIVE 
untiring | ADJECTIVE 
untitled | ADJECTIVE 
untoiling | ADJECTIVE 
untortured | ADJECTIVE 
untoward | ADJECTIVE 
untraded | ADJECTIVE 
untrammelled | ADJECTIVE 
untrampled | ADJECTIVE 
untranquil | ADJECTIVE 
untransformed | ADJECTIVE 
untravelled | ADJECTIVE 
untraversed | ADJECTIVE 
untreasured | ADJECTIVE 
untreated | ADJECTIVE 
untrembling | ADJECTIVE 
untrodden | ADJECTIVE 
untroubled | ADJECTIVE 
untrustful | ADJECTIVE 
untruthful | ADJECTIVE 
untumbled | ADJECTIVE 
untuneful | ADJECTIVE 
unturbid | ADJECTIVE 
unturning | ADJECTIVE 
untutored | ADJECTIVE 
unuseful | ADJECTIVE 
unushered | ADJECTIVE 
unuttered | ADJECTIVE 
unvalued | ADJECTIVE 
unvanquished | ADJECTIVE 
unvaried | ADJECTIVE 
unvarnished | ADJECTIVE 
unvented | ADJECTIVE 
unvisored | ADJECTIVE 
unvital | ADJECTIVE 
unvocal | ADJECTIVE 
unvulgar | ADJECTIVE 
unwakened | ADJECTIVE 
unwanted | ADJECTIVE 
unwarlike | ADJECTIVE 
unwary | ADJECTIVE 
unwasted | ADJECTIVE 
unwatchful | ADJECTIVE 
unwatered | ADJECTIVE 
unweakened | ADJECTIVE 
unweaponed | ADJECTIVE 
unwearied | ADJECTIVE 
unweary | ADJECTIVE 
unweathered | ADJECTIVE 
unwedded | ADJECTIVE 
unweeded | ADJECTIVE 
unweighing | ADJECTIVE 
unwelcome | ADJECTIVE 
unwelcomed | ADJECTIVE 
unwetted | ADJECTIVE 
unwholesome | ADJECTIVE 
unwieldy | ADJECTIVE 
unwifelike | ADJECTIVE 
unwifely | ADJECTIVE 
unwilling | ADJECTIVE 
unwinking | ADJECTIVE 
unwinnowed | ADJECTIVE 
unwishful | ADJECTIVE 
unwithered | ADJECTIVE 
unwithheld | ADJECTIVE 
unwithstood | ADJECTIVE 
unwitnessed | ADJECTIVE 
unwitting | ADJECTIVE 
unwitty | ADJECTIVE 
unwonted | ADJECTIVE 
unwooded | ADJECTIVE 
unworking | ADJECTIVE 
unworldly | ADJECTIVE 
unworried | ADJECTIVE 
unworshipped | ADJECTIVE 
unworthy | ADJECTIVE 
unwounded | ADJECTIVE 
unwoven | ADJECTIVE 
unwriting | ADJECTIVE 
unyielding | ADJECTIVE 
unzealous | ADJECTIVE 
upbraiding | ADJECTIVE 
uppermost | ADJECTIVE 
uppity | ADJECTIVE 
upriver | ADJECTIVE 
upsetting | ADJECTIVE 
upstaging | ADJECTIVE 
upstanding | ADJECTIVE 
uranic | ADJECTIVE 
uranous | ADJECTIVE 
uremic | ADJECTIVE 
urethral | ADJECTIVE 
uretic | ADJECTIVE 
urinant | ADJECTIVE 
urinous | ADJECTIVE 
urochord | ADJECTIVE 
urodele | ADJECTIVE 
urticant | ADJECTIVE 
urticate | ADJECTIVE 
usable | ADJECTIVE 
useable | ADJECTIVE 
usual | ADJECTIVE 
usufruct | ADJECTIVE 
uterine | ADJECTIVE 
utilized | ADJECTIVE 
utterless | ADJECTIVE 
uttermost | ADJECTIVE 
uvular | ADJECTIVE 
vaccinal | ADJECTIVE 
vacillant | ADJECTIVE 
vacuous | ADJECTIVE 
vagabond | ADJECTIVE 
vaginal | ADJECTIVE 
vaginate | ADJECTIVE 
valorous | ADJECTIVE 
valueless | ADJECTIVE 
valvular | ADJECTIVE 
vampiric | ADJECTIVE 
vanadous | ADJECTIVE 
vaporing | ADJECTIVE 
vaporized | ADJECTIVE 
vaporous | ADJECTIVE 
vapory | ADJECTIVE 
vapouring | ADJECTIVE 
vapourish | ADJECTIVE 
vapoury | ADJECTIVE 
variant | ADJECTIVE 
variform | ADJECTIVE 
various | ADJECTIVE 
varying | ADJECTIVE 
vegetal | ADJECTIVE 
vehement | ADJECTIVE 
veinier | ADJECTIVE 
veiniest | ADJECTIVE 
veloce | ADJECTIVE 
velvety | ADJECTIVE 
venatic | ADJECTIVE 
vendible | ADJECTIVE 
venomous | ADJECTIVE 
ventricose | ADJECTIVE 
venturesome | ADJECTIVE 
venturous | ADJECTIVE 
veracious | ADJECTIVE 
verbalized | ADJECTIVE 
verbatim | ADJECTIVE 
verboten | ADJECTIVE 
verecund | ADJECTIVE 
verier | ADJECTIVE 
veriest | ADJECTIVE 
verified | ADJECTIVE 
veristic | ADJECTIVE 
vermifuge | ADJECTIVE 
vermilion | ADJECTIVE 
verminous | ADJECTIVE 
verrucose | ADJECTIVE 
verrucous | ADJECTIVE 
versatile | ADJECTIVE 
versional | ADJECTIVE 
vertebrate | ADJECTIVE 
vesical | ADJECTIVE 
vesicant | ADJECTIVE 
vespertine | ADJECTIVE 
vexatious | ADJECTIVE 
viable | ADJECTIVE 
vibrating | ADJECTIVE 
vibrative | ADJECTIVE 
vibronic | ADJECTIVE 
vicegerent | ADJECTIVE 
vicinal | ADJECTIVE 
victimized | ADJECTIVE 
victualless | ADJECTIVE 
viewable | ADJECTIVE 
viewier | ADJECTIVE 
viewiest | ADJECTIVE 
vigilant | ADJECTIVE 
vigorous | ADJECTIVE 
villager | ADJECTIVE 
villainous | ADJECTIVE 
villatic | ADJECTIVE 
villiform | ADJECTIVE 
vinaceous | ADJECTIVE 
vinaigrette | ADJECTIVE 
vincible | ADJECTIVE 
vindictive | ADJECTIVE 
violate | ADJECTIVE 
violent | ADJECTIVE 
viperine | ADJECTIVE 
viperish | ADJECTIVE 
viperous | ADJECTIVE 
virescent | ADJECTIVE 
virginal | ADJECTIVE 
virgulate | ADJECTIVE 
virtueless | ADJECTIVE 
virtuous | ADJECTIVE 
virulent | ADJECTIVE 
visceral | ADJECTIVE 
visional | ADJECTIVE 
visionless | ADJECTIVE 
visitant | ADJECTIVE 
vistaless | ADJECTIVE 
vitalism | ADJECTIVE 
vitrescent | ADJECTIVE 
vitreum | ADJECTIVE 
vitrified | ADJECTIVE 
vitriform | ADJECTIVE 
vituline | ADJECTIVE 
vivace | ADJECTIVE 
vivacious | ADJECTIVE 
viverrine | ADJECTIVE 
vixenish | ADJECTIVE 
vixenly | ADJECTIVE 
vizarded | ADJECTIVE 
vocable | ADJECTIVE 
vocalic | ADJECTIVE 
vocative | ADJECTIVE 
voidable | ADJECTIVE 
volante | ADJECTIVE 
volitant | ADJECTIVE 
volitive | ADJECTIVE 
voluble | ADJECTIVE 
volunteer | ADJECTIVE 
voluted | ADJECTIVE 
vomerine | ADJECTIVE 
voracious | ADJECTIVE 
vortical | ADJECTIVE 
vorticose | ADJECTIVE 
votary | ADJECTIVE 
vowelless | ADJECTIVE 
vulturine | ADJECTIVE 
vulturous | ADJECTIVE 
wackier | ADJECTIVE 
wackiest | ADJECTIVE 
wafery | ADJECTIVE 
wainscoted | ADJECTIVE 
walloping | ADJECTIVE 
wanchancy | ADJECTIVE 
wanier | ADJECTIVE 
waniest | ADJECTIVE 
warier | ADJECTIVE 
wariest | ADJECTIVE 
warragal | ADJECTIVE 
warrigal | ADJECTIVE 
wartier | ADJECTIVE 
wartiest | ADJECTIVE 
washable | ADJECTIVE 
washier | ADJECTIVE 
washiest | ADJECTIVE 
waspier | ADJECTIVE 
waspiest | ADJECTIVE 
wastable | ADJECTIVE 
watercress | ADJECTIVE 
waterish | ADJECTIVE 
waterless | ADJECTIVE 
waterlog | ADJECTIVE 
waterlogged | ADJECTIVE 
waterproof | ADJECTIVE 
watertight | ADJECTIVE 
watery | ADJECTIVE 
wavier | ADJECTIVE 
waviest | ADJECTIVE 
waxier | ADJECTIVE 
waxiest | ADJECTIVE 
wayfarer | ADJECTIVE 
wealthier | ADJECTIVE 
wealthiest | ADJECTIVE 
weaponless | ADJECTIVE 
wearable | ADJECTIVE 
wearier | ADJECTIVE 
weariest | ADJECTIVE 
weariful | ADJECTIVE 
weariless | ADJECTIVE 
wearisome | ADJECTIVE 
wearying | ADJECTIVE 
webbier | ADJECTIVE 
webbiest | ADJECTIVE 
weedier | ADJECTIVE 
weediest | ADJECTIVE 
weepier | ADJECTIVE 
weepiest | ADJECTIVE 
weighable | ADJECTIVE 
weightier | ADJECTIVE 
weightiest | ADJECTIVE 
weightlessness | ADJECTIVE 
weldable | ADJECTIVE 
westering | ADJECTIVE 
westerly | ADJECTIVE 
westernmost | ADJECTIVE 
westwardly | ADJECTIVE 
whackier | ADJECTIVE 
whackiest | ADJECTIVE 
whatever | ADJECTIVE 
whatsoe'er | ADJECTIVE 
wheezier | ADJECTIVE 
wheeziest | ADJECTIVE 
whimsical | ADJECTIVE 
whinier | ADJECTIVE 
whiniest | ADJECTIVE 
wholistic | ADJECTIVE 
wieldable | ADJECTIVE 
wieldier | ADJECTIVE 
wieldiest | ADJECTIVE 
wigglier | ADJECTIVE 
wiggliest | ADJECTIVE 
wilier | ADJECTIVE 
wiliest | ADJECTIVE 
willable | ADJECTIVE 
willowy | ADJECTIVE 
windier | ADJECTIVE 
windiest | ADJECTIVE 
windowless | ADJECTIVE 
winier | ADJECTIVE 
winiest | ADJECTIVE 
winnable | ADJECTIVE 
winterweight | ADJECTIVE 
wintery | ADJECTIVE 
wintrier | ADJECTIVE 
wintriest | ADJECTIVE 
wispier | ADJECTIVE 
wispiest | ADJECTIVE 
wittier | ADJECTIVE 
wittiest | ADJECTIVE 
wizardly | ADJECTIVE 
woebegone | ADJECTIVE 
womanish | ADJECTIVE 
womanless | ADJECTIVE 
womanly | ADJECTIVE 
wonderful | ADJECTIVE 
wondering | ADJECTIVE 
woodier | ADJECTIVE 
woodiest | ADJECTIVE 
woodworking | ADJECTIVE 
wooziest | ADJECTIVE 
wordier | ADJECTIVE 
wordiest | ADJECTIVE 
workable | ADJECTIVE 
workaday | ADJECTIVE 
workmanlike | ADJECTIVE 
worrisome | ADJECTIVE 
worshipful | ADJECTIVE 
worshipless | ADJECTIVE 
wrinklier | ADJECTIVE 
wrinkliest | ADJECTIVE 
wuthering | ADJECTIVE 
xanthochroid | ADJECTIVE 
xerotic | ADJECTIVE 
yellowish | ADJECTIVE 
yeomanly | ADJECTIVE 
yokelish | ADJECTIVE 
zanier | ADJECTIVE 
zaniest | ADJECTIVE 
zenithal | ADJECTIVE 
zeugmatic | ADJECTIVE 
zibeline | ADJECTIVE 
zirconic | ADJECTIVE 
zonary | ADJECTIVE 
zonular | ADJECTIVE 
zoonal | ADJECTIVE 
zygotic | ADJECTIVE 
zymotic | ADJECTIVE 
abjectly | ADVERB 
aborning | ADVERB 
abruptly | ADVERB 
absently | ADVERB 
abstractly | ADVERB 
abstrusely | ADVERB 
absurdly | ADVERB 
achingly | ADVERB 
acidly | ADVERB 
acridly | ADVERB 
actively | ADVERB 
acutely | ADVERB 
adagio | ADVERB 
adeptly | ADVERB 
adjectively | ADVERB 
adjunctly | ADVERB 
adroitly | ADVERB 
adversely | ADVERB 
aesthetic | ADVERB 
affably | ADVERB 
aflutter | ADVERB 
aforetime | ADVERB 
afternoons | ADVERB 
afterward | ADVERB 
afterwards | ADVERB 
aggregate | ADVERB 
agilely | ADVERB 
aimlessly | ADVERB 
airily | ADVERB 
akimbo | ADVERB 
alertly | ADVERB 
alfresco | ADVERB 
alias | ADVERB 
alongshore | ADVERB 
alongside | ADVERB 
aloofly | ADVERB 
already | ADVERB 
amidships | ADVERB 
anally | ADVERB 
anciently | ADVERB 
andante | ADVERB 
angerly | ADVERB 
angrily | ADVERB 
antiquely | ADVERB 
anxiously | ADVERB 
anyhow | ADVERB 
anyplace | ADVERB 
anything | ADVERB 
anytime | ADVERB 
anyway | ADVERB 
anyways | ADVERB 
anywhere | ADVERB 
anywise | ADVERB 
apishly | ADVERB 
apropos | ADVERB 
ardently | ADVERB 
aridly | ADVERB 
arrantly | ADVERB 
artfully | ADVERB 
artlessly | ADVERB 
ascetic | ADVERB 
assai | ADVERB 
assembled | ADVERB 
astraddle | ADVERB 
astutely | ADVERB 
asunder | ADVERB 
atremble | ADVERB 
audibly | ADVERB 
augustly | ADVERB 
aurally | ADVERB 
austerely | ADVERB 
aversely | ADVERB 
avidly | ADVERB 
awesomely | ADVERB 
awfully | ADVERB 
awkwardly | ADVERB 
backhanded | ADVERB 
backwardly | ADVERB 
bafflingly | ADVERB 
baggily | ADVERB 
